Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Responses of soil organic carbon to climate extremes under warming across global biomes,https://www.nature.com/articles/s41558-023-01874-3,nature_articles/images_2023/Responses of soil organic carbon to climate extremes under warming across global biomes.jpg,"Warming temperatures associated with climate change are expected to impact soil carbon stocks, yet the effect of more frequent and intense extreme climate events on soil carbon is yet unclear. This study shows that most extremes enhance soil carbon loss globally, with variation across ecosystems.","Mingming Wang, Shuai Zhang, Zhongkui Luo",No publication date,Article,"The impact of more extreme climate conditions under global warming on soil organic carbon (SOC) dynamics remains unquantified. Here we estimate the response of SOC to climate extreme shifts under 1.5 °C warming by combining a space-for-time substitution approach and global SOC measurements (0–30 cm soil). Most extremes (22 out of 33 assessed extreme types) exacerbate SOC loss under warming globally, but their effects vary among ecosystems. Only decreasing duration of cold spells exerts consistent positive effects, and increasing extreme wet days exerts negative effects in all ecosystems. Temperate grasslands and croplands negatively respond to most extremes, while positive responses are dominant in temperate and boreal forests and deserts. In tundra, 21 extremes show neutral effects, but 11 extremes show negative effects with stronger magnitude than in other ecosystems. Our results reveal distinct, biome-specific effects of climate extremes on SOC dynamics, promoting more reliable SOC projection under climate change."
Increase in MJO predictability under global warming,https://www.nature.com/articles/s41558-023-01885-0,nature_articles/images_2023/Increase in MJO predictability under global warming.jpg,"The Madden–Julian Oscillation (MJO) is a key feature of tropical weather on a multi-weekly timescale. Here, the authors show that the MJO becomes more predictable with climate change, potentially allowing better subseasonal-to-seasonal forecasting.","Danni Du, Aneesh C. Subramanian, Elizabeth Bradley",No publication date,Article,"The Madden–Julian Oscillation (MJO) is a dominant source of subseasonal atmospheric variability in the tropics and significantly impacts global weather and climate predictability. Changes in its activity and predictability due to human-induced global climate change have profound implications for future global weather prediction. Here we investigate changes in MJO predictability in reanalysis and climate model data and find that MJO predictability has increased over the past century. This increase can be attributed to anthropogenic warming and continues during the twenty-first century in projections. The increased predictability is accompanied by stronger MJO amplitude, more regular oscillation patterns and organized eastward propagation under global warming. Our results suggest that greenhouse warming will increase the predictability of the MJO, with far-reaching consequences for global weather prediction."
The soil microbiome governs the response of microbial respiration to warming across the globe,https://www.nature.com/articles/s41558-023-01868-1,nature_articles/images_2023/The soil microbiome governs the response of microbial respiration to warming across the globe.jpg,"The authors use experimental data from 332 sites across all major global biomes to evaluate the drivers of soil microbial respiration response to warming. They demonstrate a key role of the soil microbiome, highlighting the need to account for this in assessments of soil respiration under change.","Tadeo Sáez-Sandino, Pablo García-Palacios, Manuel Delgado-Baquerizo",No publication date,Article,"The sensitivity of soil microbial respiration to warming (Q10) remains a major source of uncertainty surrounding the projections of soil carbon emissions to the atmosphere as the factors drivingQ10patterns across ecosystems have been assessed in isolation from each other. Here we report the results of a warming experiment using soils from 332 sites across all continents and major biomes to simultaneously evaluate the main drivers of globalQ10patterns. Compared with biochemical recalcitrance, mineral protection, substrate quantity and environmental factors, the soil microbiome (that is, microbial biomass and bacterial taxa) explained the largest portion of variation inQ10values. Our work provides solid evidence that soil microbiomes largely govern the responses of soil heterotrophic respiration to warming and thus need to be explicitly accounted for when assessing land carbon–climate feedbacks."
Recent irreversible retreat phase of Pine Island Glacier,https://www.nature.com/articles/s41558-023-01887-y,nature_articles/images_2023/Recent irreversible retreat phase of Pine Island Glacier.jpg,"It has been suggested that Antarctic ice sheets can become unstable and undergo irreversible retreat, but so far observational evidence for this mechanism is missing. Here, the authors show evidence that such an irreversible retreat occurred at Pine Island Glacier in West Antarctica in the 1970s.","Brad Reed, J. A. Mattias Green, G. Hilmar Gudmundsson",No publication date,Article,"Pine Island Glacier (PIG), a part of the West Antarctic marine ice sheet, has recently undergone substantial changes including speed up, retreat and thinning. Theoretical arguments and modelling work suggest that marine ice sheets can become unstable and undergo irreversible retreat. Here, we use an ice-flow model validated by observational data to show that a rapid PIG retreat in the 1970s from a subglacial ridge to an upstream ice plain was self-enhancing and irreversible. The results suggest that by the early 1970s, the retreat of PIG had reached a point beyond which its original position at the ridge could not be recovered, even during subsequent periods of cooler ocean conditions. The irreversible phase ended by the early 1990s after almost 40 km of retreat and 0.34 mm added to global mean sea level, making PIG the main contributor from the Antarctic ice sheet in this period."
Evidence lacking for a pending collapse of the Atlantic Meridional Overturning Circulation,https://www.nature.com/articles/s41558-023-01877-0,nature_articles/images_2023/Evidence lacking for a pending collapse of the Atlantic Meridional Overturning Circulation.jpg,No description,"Xianyao Chen, Ka-Kit Tung",No publication date,Matters Arising,
Reply to: Evidence lacking for a pending collapse of the Atlantic Meridional Overturning Circulation,https://www.nature.com/articles/s41558-023-01878-z,nature_articles/images_2023/Reply to_ Evidence lacking for a pending collapse of the Atlantic Meridional Overturning Circulation.jpg,No description,Niklas Boers,No publication date,Matters Arising,
Fast upper-level jet stream winds get faster under climate change,https://www.nature.com/articles/s41558-023-01884-1,nature_articles/images_2023/Fast upper-level jet stream winds get faster under climate change.jpg,"Climate change is expected to strengthen atmospheric jet streams. Here the authors show that the fastest upper-level jet stream winds accelerate about 2.5 times faster under climate change than average winds, which could influence aviation and severe weather events.","Tiffany A. Shaw, Osamu Miyawaki",No publication date,Article,"Earth’s upper-level jet streams influence the speed and direction of travel of weather systems and commercial aircraft, and are linked to severe weather occurrence. Climate change is projected to accelerate the average upper-level jet stream winds. However, little is known about how fast (>99th percentile) upper-level jet stream winds will change. Here we show that fast upper-level jet stream winds get faster under climate change using daily data from climate model projections across a hierarchy of physical complexity. Fast winds also increase ~2.5 times more than the average wind response. We show that the multiplicative increase underlying the fast-get-faster response follows from the nonlinear Clausius–Clapeyron relation (moist-get-moister response). The signal is projected to emerge in both hemispheres by 2050 when considering scenario uncertainty. The results can be used to explain projected changes in commercial flight times, record-breaking winds, clear-air turbulence and a potential increase in severe weather occurrence under climate change."
Inequality repercussions of financing negative emissions,https://www.nature.com/articles/s41558-023-01870-7,nature_articles/images_2023/Inequality repercussions of financing negative emissions.jpg,"Negative emissions technologies at scale are seen as essential for the overall decarbonization effort to achieve the Paris Agreement targets. However, private ownership of these technologies could largely increase regional or international inequality by financing them through carbon markets.","Pietro Andreoni, Johannes Emmerling, Massimo Tavoni",No publication date,Article,"Negative emissions technologies are attracting the interest of investors in the race to make them effective and profitable. When deployed at scale, they will be financed through public funds, reducing the fiscal space for a socially inclusive climate transition. Moreover, if the private sector owns negative emissions technologies, potentially large profits would disproportionally benefit investors and equity holders. Here we quantify the inequality repercussions of direct air capture of CO2in a 1.5 °C scenario, using a regional integrated assessment model that features within-country income heterogeneity. We find that, under a single carbon market, financing negative emissions technologies could double the increase in income inequality of climate policy. The effects are highest around the time of net zero and in scenarios with carbon budget overshoot. We identify the drivers of the inequality increase and discuss policy provisions to mitigate the equity concerns of CO2removal strategies."
A constraint on historic growth in global photosynthesis due to rising CO2,https://www.nature.com/articles/s41558-023-01867-2,nature_articles/images_2023/A constraint on historic growth in global photosynthesis due to rising CO2.jpg,"The authors incorporate terrestrial biosphere models with ecological optimality theory, remote sensing and global carbon budget estimates to constrain the historical effects of CO2 on photosynthesis. They show that CO2 fertilization likely increased global photosynthesis by 13.5% between 1981 and 2020.","T. F. Keenan, X. Luo, S. Zhou",No publication date,Article,"Theory predicts that rising CO2increases global photosynthesis, a process known as CO2fertilization, and that this is responsible for much of the current terrestrial carbon sink. The estimated magnitude of the historic CO2fertilization, however, differs by an order of magnitude between long-term proxies, remote sensing-based estimates and terrestrial biosphere models. Here we constrain the likely historic effect of CO2on global photosynthesis by combining terrestrial biosphere models, ecological optimality theory, remote sensing approaches and an emergent constraint based on global carbon budget estimates. Our analysis suggests that CO2fertilization increased global annual terrestrial photosynthesis by 13.5 ± 3.5% or 15.9 ± 2.9 PgC (mean ± s.d.) between 1981 and 2020. Our results help resolve conflicting estimates of the historic sensitivity of global terrestrial photosynthesis to CO2and highlight the large impact anthropogenic emissions have had on ecosystems worldwide."
Loss-of-function gs3 allele decreases methane emissions and increases grain yield in rice,https://www.nature.com/articles/s41558-023-01872-5,nature_articles/images_2023/Loss-of-function gs3 allele decreases methane emissions and increases grain yield in rice.jpg,"Rice paddies are a source of the potent greenhouse gas methane. The authors demonstrate that a rice variety containing naturally lost function in the gene GS3 has reduced allocation of photosynthates to roots, which results in a reduction of methane emissions during growth.","Youngho Kwon, Ji-Yoon Lee, Choong-Min Ryu",No publication date,Brief Communication,"Rice paddies are a major source of methane emissions. To meet the food demand of the growing population and to cope with global warming, reducing greenhouse gases and enhancing yields are critical. Here we demonstrate that a loss-of-function rice allele,gs3, mitigates methane emissions from methanogens by allocating more photosynthates to the grain and less to the root and increases yield by enlarging grain size and weight."
"Community forest governance and synergies among carbon, biodiversity and livelihoods",https://www.nature.com/articles/s41558-023-01863-6,nature_articles/images_2023/Community forest governance and synergies among carbon_ biodiversity and livelihoods.jpg,"Forest restoration is emerging as a key climate mitigation strategy. In this study, the authors find that formalized local control and substantive involvement in rule-making are associated with synergies for carbon sequestration, biodiversity and rural livelihoods.","Harry W. Fischer, Ashwini Chhatre, Arun Agrawal",No publication date,Article,"Forest landscape restoration has emerged as a key strategy to sequester atmospheric carbon and conserve biodiversity while providing livelihood co-benefits for indigenous peoples and local communities. Using a dataset of 314 forest commons in human-dominated landscapes in 15 tropical countries in Africa, Asia and Latin America, we examine the relationships among carbon sequestered in above-ground woody biomass, tree species richness and forest livelihoods. We find five distinct clusters of forest commons, with co-benefits and trade-offs on multiple dimensions. The presence of a formal community management association and local participation in rule-making are consistent predictors of multiple positive outcomes. These findings, drawn from a range of contexts globally, suggest that empowered local forest governance may support multiple objectives of forest restoration. Our analysis advances understanding of institutional aspects of restoration while underscoring the importance of analysing the interconnections among multiple forest benefits to inform effective interventions for multifunctional tropical forests."
