Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Arctic soil carbon trajectories shaped by plant–microbe interactions,https://www.nature.com/articles/s41558-024-02147-3,nature_articles/images_2024/Arctic soil carbon trajectories shaped by plant_microbe interactions.jpg,Arctic warming is thought to lead to large losses in soil carbon stocks. Here a 35-year-long fertilization experiment in Alaska shows that increased shrub productivity and changes in plant–microbial feedbacks may eventually reverse trends of carbon loss and restore the soil carbon sink.,"Megan B. Machmuller, Laurel M. Lynch, Matthew D. Wallenstein",No publication date,Article,"Rapid warming in the Arctic threatens to amplify climate change by releasing the region’s vast stocks of soil carbon to the atmosphere. Increased nutrient availability may exacerbate soil carbon losses by stimulating microbial decomposition or offset them by increasing primary productivity. The outcome of these competing feedbacks remains unclear. Here we present results from a long-term nutrient addition experiment in northern Alaska, United States, coupled with a mechanistic isotope-tracing experiment. We found that soil carbon losses observed during the first 20 years of fertilization were caused by microbial priming and were completely reversed in the subsequent 15 years by shrub expansion which promoted an increasingly efficient carbon–nitrogen economy. Incorporating long-term stoichiometric responses in Earth system models will improve predictions of the magnitude, direction and timing of the Arctic carbon–climate feedback."
Climate variability shifts the vertical structure of phytoplankton in the Sargasso Sea,https://www.nature.com/articles/s41558-024-02136-6,nature_articles/images_2024/Climate variability shifts the vertical structure of phytoplankton in the Sargasso Sea.jpg,"The authors reveal distinct trends in surface and subsurface phytoplankton dynamics, highlighting the need for subsurface monitoring. Whereas subsurface phytoplankton respond to recent warming with biomass increases, surface phytoplankton show altered carbon-to-chlorophyll ratios but minimal biomass change.","Johannes J. Viljoen, Xuerong Sun, Robert J. W. Brewin",No publication date,Article,"Marine phytoplankton are essential to ocean biogeochemical cycles. However, our understanding of changes in phytoplankton rely largely on satellite data, which can only assess changes in surface phytoplankton. How climate variability is impacting their vertical structure remains unclear. Here we use 33 years’ worth of data from the Sargasso Sea to show distinct seasonal and long-term phytoplankton climate responses in the surface mixed layer compared with the subsurface. Seasonally, the surface community alters their carbon-to-chlorophyll ratio without changing their carbon biomass, whereas the chlorophyllaand carbon of the subsurface community covaries with no change in their carbon-to-chlorophyll ratio. Over the last decade, the subsurface phytoplankton biomass has increased in response to warming, whereas the surface phytoplankton have altered their carbon-to-chlorophyll ratio with minimal change in their carbon biomass. Given that satellites can only view the surface ocean, sustained subsurface monitoring is required to provide a full understanding of how phytoplankton are responding to climate change."
Using cost–benefit analyses to identify key opportunities in demand-side mitigation,https://www.nature.com/articles/s41558-024-02146-4,nature_articles/images_2024/Using cost_benefit analyses to identify key opportunities in demand-side mitigation.jpg,"Demand-side mitigation solutions are seen as an essential part for climate actions, yet their adoption is still lower than expected. Cost–benefit analysis shows that the main barriers lie in the non-pecuniary costs of behaviour switching, and highlights opportunities for targeted policy intervention.","Jie-Sheng Tan-Soo, Ping Qin, Xiaoxi Wang",No publication date,Article,"Demand-side mitigation relies on individuals’ and households’ willingness to alter their consumption habits and daily routines to reduce their carbon footprint. Despite optimistic forecasts for well-being improvements, broad adoption of these behavioural changes remains elusive. Our study analyses 12 behaviours in Beijing, China, using a cost–benefit approach that includes both tangible (pecuniary) and intangible (non-pecuniary) benefits. Our findings indicate that eight behaviours result in individual-level welfare loss. Even after accounting for mitigation benefits, seven behaviours still incur social-welfare loss. Monte Carlo simulations unveil substantial variability in welfare impacts, highlighting opportunities for targeted policy interventions. Depending on the perspective (individual versus societal) and the goal (welfare versus mitigation), we recommend four demand-side practices for Beijing policymakers. In addition, we propose actionable steps on the basis of sensitivity analyses. This study underscores the need for an objective and universally applicable framework to evaluate demand-side behaviours and optimize emissions reduction potential."
Feasible deployment of carbon capture and storage and the requirements of climate targets,https://www.nature.com/articles/s41558-024-02104-0,nature_articles/images_2024/Feasible deployment of carbon capture and storage and the requirements of climate targets.jpg,"Carbon capture and storage is a key component of mitigation scenarios, yet its feasibility is debated. An analysis based on historical trends in policy-driven technologies, current plans and their failure rates shows that a number of 2 °C pathways are feasible, but most 1.5 °C pathways are not.","Tsimafei Kazlou, Aleh Cherp, Jessica Jewell",No publication date,Article,"Climate change mitigation requires the large-scale deployment of carbon capture and storage (CCS). Recent plans indicate an eight-fold increase in CCS capacity by 2030, yet the feasibility of CCS expansion is debated. Using historical growth of CCS and other policy-driven technologies, we show that if plans double between 2023 and 2025 and their failure rates decrease by half, CCS could reach 0.37 GtCO2yr−1by 2030—lower than most 1.5 °C pathways but higher than most 2 °C pathways. Staying on-track to 2 °C would require that in 2030–2040 CCS accelerates at least as fast as wind power did in the 2000s, and that after 2040, it grows faster than nuclear power did in the 1970s to 1980s. Only 10% of mitigation pathways meet these feasibility constraints, and virtually all of them depict <600 GtCO2captured and stored by 2100. Relaxing the constraints by assuming no failures of CCS plans and growth as fast as flue-gas desulfurization would approximately double this amount."
Ocean warming as a trigger for irreversible retreat of the Antarctic ice sheet,https://www.nature.com/articles/s41558-024-02134-8,nature_articles/images_2024/Ocean warming as a trigger for irreversible retreat of the Antarctic ice sheet.jpg,"The Filchner–Ronne and Ross ice shelves are two of the largest in Antarctica. Here the authors show their vulnerability to warming ocean conditions, where a transition to warmer waters in the ice shelf cavities could lead to accelerated ice loss and grounding line retreat.","Emily A. Hill, G. Hilmar Gudmundsson, David M. Chandler",No publication date,Article,"Warmer ocean conditions could impact future ice loss from Antarctica due to their ability to thin and reduce the buttressing of laterally confined ice shelves. Previous studies highlight the potential for a cold to warm ocean regime shift within the sub-shelf cavities of the two largest Antarctic ice shelves—the Filchner–Ronne and Ross. However, how this impacts upstream ice flow and mass loss has not been quantified. Here using an ice sheet model and an ensemble of ocean-circulation model sub-shelf melt rates, we show that transition to a warm state in those ice shelf cavities leads to a destabilization and irreversible grounding line retreat in some locations. Once this ocean shift takes place, ice loss from the Filchner–Ronne and Ross catchments is greatly accelerated, and conditions begin to resemble those of the present-day Amundsen Sea sector—responsible for most current observed Antarctic ice loss—where this thermal shift has already occurred."
Limited net poleward movement of reef species over a decade of climate extremes,https://www.nature.com/articles/s41558-024-02116-w,nature_articles/images_2024/Limited net poleward movement of reef species over a decade of climate extremes.jpg,"The authors use 12 years of broadscale survey data across 838 temperate and tropical coastal sites to investigate shifts in marine taxa range edges at the community level. They show that while some species respond rapidly to change, evidence for mass poleward migration is limited.","Yann Herrera Fuchs, Graham J. Edgar, Rick D. Stuart-Smith",No publication date,Article,"Warming seas are expected to drive marine life poleward. However, few systematic observations confirm movement among entire communities at both warm and cool range edges. We analysed two continent-scale reef monitoring datasets to quantify changes in latitudinal range edges of 662 Australian shallow-water reef fishes and invertebrates over a decade punctuated by climate extremes. Temperate and tropical species both showed little net movement overall, with retreat often balancing expansion across the continent. Within regions, however, range edges shifted ~100 km per decade, on average, in the poleward or equatorward directions expected from warming or cooling. Although some species responded rapidly to temperature change, we found little evidence for mass poleward migration over the decade. Previous studies based on extreme species observations, rather than tracking all species through time, may have overestimated the prevalence, magnitude and longevity of range shifts amongst marine taxa."
Carbon dioxide emissions from global overseas coal-fired power plants,https://www.nature.com/articles/s41558-024-02114-y,nature_articles/images_2024/Carbon dioxide emissions from global overseas coal-fired power plants.jpg,"Foreign investments in recent years drive the expansion of fossil fuel electricity generation in emerging economies, yet necessary quantification still lacks. This Article shows how overseas coal-fired power plants could drive future trajectories of CO2 emissions in host countries.","Peng Guo, Huizhong Shen, Shu Tao",No publication date,Article,"Foreign investments in overseas coal-fired power plants (OCPs) largely impede decarbonization efforts, yet their global carbon dioxide (CO2) emissions have not been sufficiently quantified. Here we analyse investment data from 908 OCPs worldwide, and then reveal current annual emissions of 0.53 GtCO2yr−1and a historical cumulative total of 26 GtCO2. Developed nations account for 78% of these cumulative emissions on the basis of investments, while emissions from developing nations have surged from 8% in 1960 to 39% in 2022. Assuming unchanged policies and technologies, OCPs are projected to contribute an additional 15–30 GtCO2in cumulative emissions by 2060 directly. Furthermore, they could stimulate local coal power growth in emerging economies, potentially adding 6.3–45.0 GtCO2emissions indirectly. Our study underscores the critical importance of low-carbon policy interventions in emerging countries to curb the power-sector carbon emissions increasingly influenced by international capital."
Disproportionate impact of atmospheric heat events on lake surface water temperature increases,https://www.nature.com/articles/s41558-024-02122-y,nature_articles/images_2024/Disproportionate impact of atmospheric heat events on lake surface water temperature increases.jpg,"Lake surface water temperatures have increased over recent decades, mainly driven by atmospheric conditions. Here the authors demonstrate that heat events drive a disproportionately large part of this lake surface warming and increases in lake heatwaves.","Xiwen Wang, Kun Shi, R. Iestyn Woolway",No publication date,Article,"Hot temperature extremes (HTEs) in the atmosphere can also affect lake surface water temperature, but how this impact changes with global warming is not well understood. Here we use numerical modelling and satellite observations to quantify the contribution of HTEs to variations in summer lake surface water temperature and lake heatwaves in 1,260 water bodies worldwide between 1979 and 2022. Over this time period, HTE duration and cumulative intensity over the studied lakes increased significantly, at average rates of 1.4 days per decade and 0.92 °C days per decade, respectively. Despite only accounting for 7% of the total summer days, HTEs are responsible for 24% of lake surface summer warming trends, with the most pronounced effect observed in Europe at 27%. Moreover, HTEs are key drivers of both the duration and cumulative intensity of lake heatwaves. Our findings underscore the pivotal role played by short-term climatic extreme events in shaping long-term lake surface water temperature dynamics."
Rising cause-specific mortality risk and burden of compound heatwaves amid climate change,https://www.nature.com/articles/s41558-024-02137-5,nature_articles/images_2024/Rising cause-specific mortality risk and burden of compound heatwaves amid climate change.jpg,"The authors analyse data from 272 Chinese cities, projecting that compound heatwaves will cause higher burdens for all major cardiopulmonary diseases than daytime or nighttime heatwaves, especially under scenarios with higher emissions and ageing and in areas with high summer temperature variability.","Jiangdong Liu, Jinlei Qi, Maigeng Zhou",No publication date,Article,"Global warming shifts daytime-only heatwaves to nighttime-only and day–night compound heatwaves. However, evidence on the cause-specific burdens of these heatwaves in a changing climate and ageing population is limited. Here, by analysing 1,088,742 non-accidental deaths from 272 Chinese cities, we found that compound heatwaves posed significantly higher cardiopulmonary mortality risks and burdens than daytime-only and nighttime-only heatwaves, particularly for ischaemic stroke, chronic obstructive pulmonary disease and regions with high summer temperature variation. Projections suggested substantial increases in compound heatwave-related mortality (4.0–7.6-fold) by the 2090s relative to the 2010s under medium and high greenhouse gas emission scenarios, outpacing nighttime-only heatwaves (0.7–1.9-fold) and contrasting with decreasing daytime heatwave-related mortality (0.3–0.8-fold). A strict emission control scenario (Shared Socioeconomic Pathway 1-1.9) may reverse most heatwave-related mortality increases. The confluence of global warming and ageing amplifies heatwave-related burdens, outstripping the sum of their individual impacts. Our findings underscore the importance of addressing compound heatwaves amid global warming."
Acceleration of Drosophila subobscura evolutionary response to global warming in Europe,https://www.nature.com/articles/s41558-024-02128-6,nature_articles/images_2024/Acceleration of Drosophila subobscura evolutionary response to global warming in Europe.jpg,"The authors resurvey data from the present, late 1960s and late 1990s to understand the evolution of European Drosophila fly populations. They show that genetic changes in temperate regions have accelerated in line with warming and come from pre-existing rather than new variation.","Francisco Rodríguez-Trelles, Rosa Tarrío",No publication date,Article,"The increasing risk of irreversible ecological transformation under global warming has boosted the need to understand the capacity of organisms to adapt to this change. Here, using a resurvey method of populations of the European flyDrosophila subobscura, we show that a known evolutionary response to global warming has accelerated in the past 20 years, in step with regional warming. This genetic response has come entirely by resorting pre-existing variation—and not from novel inversions—for tolerance to high temperature. Temperate populations are predicted to converge to the typical Mediterranean chromosomal composition by the mid-2050s, at which point this classic example of steep genetic cline will have vanished. Our results suggest that species with broad geographic ranges, large population sizes and high genetic diversity may have the evolutionary potential to cope with climate change."
