Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Global warming decreases connectivity among coral populations,https://www.nature.com/articles/s41558-021-01248-7,nature_articles/images_2021/Global warming decreases connectivity among coral populations.jpg,"The authors develop a high-resolution model of coral larval dispersal for the southern Great Barrier Reef. They show that 2 °C of warming decreases larval dispersal distance and connectivity of reefs, hampering post-disturbance recovery and the potential spread of warm-adapted genes.","Joana Figueiredo, Christopher J. Thomas, Emmanuel Hanert",No publication date,Article,"Global warming is killing corals; however, the effects of warming on population connectivity, a process fundamental to reef recovery, are largely unexplored. Using a high-resolution (as high as 200 m), empirically calibrated biophysical model of coral larval dispersal for the southern Great Barrier Reef, we show that the increased larval mortality and reduced competency duration under a 2 °C warming alter dispersal patterns, whereas projected changes in large-scale currents have limited effects. Overall, there was on average a 7% decrease in the distance larvae disperse (among-reef interquartile range (IQR), −10% to −4%), an 8% decrease in the number of connections into each reef (IQR, −11% to −3%) and a 20% increase in local retention (IQR, 0% to +49%). Collectively, these shifts imply that 2 °C of warming will reduce inter-reef connectivity, hampering recovery after disturbances and reducing the spread of warm-adapted genes. Such changes make protections more effective locally, but may require reducing spacing between protected areas."
Phenological mismatches between above- and belowground plant responses to climate warming,https://www.nature.com/articles/s41558-021-01244-x,nature_articles/images_2021/Phenological mismatches between above- and belowground plant responses to climate warming.jpg,The authors conduct a meta-analysis to reveal mismatches in above- and belowground plant phenological responses to warming that differ by plant type (herbaceous versus woody). The work highlights a need for further research and consideration of under-represented belowground phenological changes.,"Huiying Liu, Hao Wang, Madhav P. Thakur",No publication date,Analysis,"Climate warming is changing the aboveground phenology of plants around the world. However, the effects of warming on the belowground phenology of plants remain relatively under-investigated, even though roots play a vital role in carbon cycling. Here we synthesize 88 published studies to show a phenological mismatch between above- and belowground plant responses to climate warming. For herbaceous plants, warming advanced both the start and end of aboveground growing season, resulting in an unchanged growing season length. In contrast, belowground phenophases (the start, end and length of the growing season) of herbaceous plants remained unchanged. For woody plants, climate warming did not affect any aboveground phenophases but extended their belowground growing season. Mismatches between above- and belowground phenology will strongly influence biomass allocation in plants, implying that terrestrial carbon cycling models based exclusively on aboveground responses are inaccurate. The work highlights an urgent need for future research of under-represented belowground phenological changes."
Near-term transition and longer-term physical climate risks of greenhouse gas emissions pathways,https://www.nature.com/articles/s41558-021-01236-x,nature_articles/images_2021/Near-term transition and longer-term physical climate risks of greenhouse gas emissions pathways.jpg,There is a balance in mitigation pathway design between economic transition cost and physical climate threats. This study provides a comprehensive framework to assess the near- and long-term risks under various warming scenarios globally and in particular regions.,"Ajay Gambhir, Mel George, Seth Monteith",No publication date,Analysis,"Policy, business, finance and civil society stakeholders are increasingly looking to compare future emissions pathways across both their associated physical climate risks stemming from increasing temperatures and their transition climate risks stemming from the shift to a low-carbon economy. Here, we present an integrated framework to explore near-term (to 2030) transition risks and longer-term (to 2050) physical risks, globally and in specific regions, for a range of plausible greenhouse gas emissions and associated temperature pathways, spanning 1.5–4 °C levels of long-term warming. By 2050, physical risks deriving from major heatwaves, agricultural drought, heat stress and crop duration reductions depend greatly on the temperature pathway. By 2030, transition risks most sensitive to temperature pathways stem from economy-wide mitigation costs, carbon price increases, fossil fuel demand reductions and coal plant capacity reductions. Considering several pathways with a 2 °C target demonstrates that transition risks also depend on technological, policy and socio-economic factors."
Hysteresis of the intertropical convergence zone to CO2 forcing,https://www.nature.com/articles/s41558-021-01211-6,nature_articles/images_2021/Hysteresis of the intertropical convergence zone to CO2 forcing.jpg,"In idealized model experiments where CO2 increases four-fold before returning to its original level, temperature and precipitation show almost linear responses to CO2 forcing. In contrast, the response of the Intertropical Convergence Zone lags behind CO2 changes, associated with delayed energy exchanges.","Jong-Seong Kug, Ji-Hoon Oh, Jongsoo Shin",No publication date,Article,"With the unprecedented rate of global warming in recent decades, whether or not anthropogenic climate change is irreversible is an important question. Based on idealized CO2ramp-up until 1,468 ppm and symmetric ramp-down model experiments, here we show that the intertropical convergence zone (ITCZ) does not respond linearly to CO2forcing, but exhibits strong hysteresis behaviour. While the location of the ITCZ changes minimally during the ramp-up period, it moves sharply south as soon as CO2begins to decrease, and its centre eventually resides in the Southern Hemisphere during the ramp-down period. Such ITCZ hysteresis is associated with delays in global energy exchanges between the tropics and extratropics. The delayed energy exchanges are explained by two distinct hysteresis behaviours of the Atlantic Meridional Overturning Circulation and slower warming/cooling in the Southern Ocean. We also suggest that the ITCZ hysteresis can lead to hysteresis in regional hydrological cycles."
Contextualizing cross-national patterns in household climate change adaptation,https://www.nature.com/articles/s41558-021-01222-3,nature_articles/images_2021/Contextualizing cross-national patterns in household climate change adaptation.jpg,"The context and motivation around adaptation are influenced by local culture and institutions. In the United States, China, Indonesia and the Netherlands, some factors (such as perceived costs) have similar influences on household adaptation to flooding, but others (such as flood experience) differ between countries.","Brayton Noll, Tatiana Filatova, Alessandro Taberna",No publication date,Article,"Understanding social and behavioural drivers and constraints of household adaptation is essential to effectively address increasing climate-induced risks. Factors shaping household adaptation are commonly treated as universal, despite an emerging understanding that adaptations are shaped by social, institutional and cultural contexts. Using original surveys in the United States, China, Indonesia and the Netherlands (N= 3,789), we explore variations in factors shaping households’ adaptations to flooding, the costliest hazard worldwide. We find that social influence, worry, climate change beliefs, self-efficacy and perceived costs exhibit universal effects on household adaptations, despite countries’ differences. Disparities occur in the effects of response efficacy, flood experience, beliefs in governmental actions, demographics and media, which we attribute to specific cultural or institutional characteristics. Climate adaptation policies can leverage the revealed similarities when extrapolating best practices across countries yet should exercise caution, as context-specific socio-behavioural drivers may discourage or even reverse household adaptation motivation."
Ocean warming and accelerating Southern Ocean zonal flow,https://www.nature.com/articles/s41558-021-01212-5,nature_articles/images_2021/Ocean warming and accelerating Southern Ocean zonal flow.jpg,"The remoteness and paucity of historic observations of the Southern Ocean limit understanding of the effects of climate change on circulation. Using observations, CMIP6 and eddy-resolving models, this Article shows that acceleration of its zonal flow emerged in recent decades as a result of uneven ocean warming.","Jia-Rui Shi, Lynne D. Talley, Wei Liu",No publication date,Article,"The Southern Ocean (>30° S) has taken up a large amount of anthropogenic heat north of the Subantarctic Front (SAF) of the Antarctic Circumpolar Current (ACC). Poor sampling before the 1990s and decadal variability have heretofore masked the ocean’s dynamic response to this warming. Here we use the lengthening satellite altimetry and Argo float records to show robust acceleration of zonally averaged Southern Ocean zonal flow at 48° S–58° S. This acceleration is reproduced in a hierarchy of climate models, including an ocean-eddy-resolving model. Anthropogenic ocean warming is the dominant driver, as large (small) heat gain in the downwelling (upwelling) regime north (south) of the SAF causes zonal acceleration on the northern flank of the ACC and adjacent subtropics due to increased baroclinicity; strengthened wind stress is of secondary importance. In Drake Passage, little warming occurs and the SAF velocity remains largely unchanged. Continued ocean warming could further accelerate Southern Ocean zonal flow."
Cost and attainability of meeting stringent climate targets without overshoot,https://www.nature.com/articles/s41558-021-01215-2,nature_articles/images_2021/Cost and attainability of meeting stringent climate targets without overshoot.jpg,Current emissions scenarios include pathways that overshoot the temperature goals set out in the Paris Agreement and rely on future net negative emissions. Limiting overshoot would require near-term investment but would result in longer-term economic benefit.,"Keywan Riahi, Christoph Bertram, Behnam Zakeri",No publication date,Article,"Global emissions scenarios play a critical role in the assessment of strategies to mitigate climate change. The current scenarios, however, are criticized because they feature strategies with pronounced overshoot of the global temperature goal, requiring a long-term repair phase to draw temperatures down again through net-negative emissions. Some impacts might not be reversible. Hence, we explore a new set of net-zero CO2emissions scenarios with limited overshoot. We show that upfront investments are needed in the near term for limiting temperature overshoot but that these would bring long-term economic gains. Our study further identifies alternative configurations of net-zero CO2emissions systems and the roles of different sectors and regions for balancing sources and sinks. Even without net-negative emissions, CO2removal is important for accelerating near-term reductions and for providing an anthropogenic sink that can offset the residual emissions in sectors that are hard to abate."
Net zero-emission pathways reduce the physical and economic risks of climate change,https://www.nature.com/articles/s41558-021-01218-z,nature_articles/images_2021/Net zero-emission pathways reduce the physical and economic risks of climate change.jpg,Mitigation pathways allowing for temperature overshoot often ignore the related climate and macroeconomic impacts. Net-zero pathways with limited overshoot could reduce low-probability high-consequence risks and economic loss.,"Laurent Drouet, Valentina Bosetti, Massimo Tavoni",No publication date,Article,"Mitigation pathways exploring end-of-century temperature targets often entail temperature overshoot. Little is known about the additional climate risks generated by overshooting temperature. Here we assessed the benefits of limiting overshoot. We computed the probabilistic impacts for different warming targets and overshoot levels on the basis of an ensemble of integrated assessment models. We explored both physical and macroeconomic impacts, including persistent and non-persistent climate impacts. We found that temperature overshooting affects the likelihood of many critical physical impacts, such as those associated with heat extremes. Limiting overshoot reduces risk in the right tail of the distribution, in particular for low-temperature targets where larger overshoots arise as a way to lower short-term mitigation costs. We also showed how, after mid-century, overshoot leads to both higher mitigation costs and economic losses from the additional impacts. The study highlights the need to include climate risk analysis in low-carbon pathways."
Health co-benefits of climate change mitigation depend on strategic power plant retirements and pollution controls,https://www.nature.com/articles/s41558-021-01216-1,nature_articles/images_2021/Health co-benefits of climate change mitigation depend on strategic power plant retirements and pollution controls.jpg,Climate mitigation policies often provide health co-benefits. Analysis of individual power plants under future climate–energy policy scenarios shows reducing air pollution-related deaths does not automatically align with emission reduction policies and that policy design needs to consider public health.,"Dan Tong, Guannan Geng, Steven J. Davis",No publication date,Article,"Reducing CO2emissions from fossil fuel- and biomass-fired power plants often also reduces air pollution, benefitting both climate and public health. Here, we examine the relationship of climate and health benefits by modelling individual electricity-generating units worldwide across a range of climate–energy policy scenarios. We estimate that ~92% of deaths related to power plant emissions during 2010–2018 occurred in low-income or emerging economies such as China, India and countries in Southeast Asia, and show that such deaths are quite sensitive to future climate–energy trajectories. Yet, minimizing future deaths will also require strategic retirements of super-polluting power plants and deployment of pollution control technologies. These findings underscore the importance of considering public health in designing and implementing climate–energy policies: improved air quality and avoided air pollution deaths are not an automatic and fixed co-benefit of climate mitigation."
"Climate action with revenue recycling has benefits for poverty, inequality and well-being",https://www.nature.com/articles/s41558-021-01217-0,nature_articles/images_2021/Climate action with revenue recycling has benefits for poverty_ inequality and well-being.jpg,"Climate policy analyses often ignore the possibility of progressive redistribution of carbon tax revenues and assume that mitigation cost will burden the poor in the short term. Integrated Assessment Model (IAM) estimation suggests such redistribution could reduce inequality, alleviate poverty and increase well-being globally.","Mark Budolfson, Francis Dennig, Stéphane Zuber",No publication date,Analysis,"Existing estimates of optimal climate policy ignore the possibility that carbon tax revenues could be used in a progressive way; model results therefore typically imply that near-term climate action comes at some cost to the poor. Using the Nested Inequalities Climate Economy (NICE) model, we show that an equal per capita refund of carbon tax revenues implies that achieving a 2 °C target can pay large and immediate dividends for improving well-being, reducing inequality and alleviating poverty. In an optimal policy calculation that weighs the benefits against the costs of mitigation, the recommended policy is characterized by aggressive near-term climate action followed by a slower climb towards full decarbonization; this pattern—which is driven by a carbon revenue Laffer curve—prevents runaway warming while also preserving tax revenues for redistribution. Accounting for these dynamics corrects a long-standing bias against strong immediate climate action in the optimal policy literature."
