Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Multi-scale predictions of massive conifer mortality due to chronic temperature rise,https://www.nature.com/articles/nclimate2873,nature_articles/images_2015/Multi-scale predictions of massive conifer mortality due to chronic temperature rise.jpg,Research integrating experimental data and modelling to improve representation of plant physiological thresholds infers largely temperature-driven loss of conifer trees by 2100 across the southwestern USA and much of the Northern Hemisphere.,"N. G. McDowell, A. P. Williams, C. Koven",No publication date,Letter,"Global temperature rise and extremes accompanying drought threaten forests1,2and their associated climatic feedbacks3,4. Our ability to accurately simulate drought-induced forest impacts remains highly uncertain5,6in part owing to our failure to integrate physiological measurements, regional-scale models, and dynamic global vegetation models (DGVMs). Here we show consistent predictions of widespread mortality of needleleaf evergreen trees (NET) within Southwest USA by 2100 using state-of-the-art models evaluated against empirical data sets. Experimentally, dominant Southwest USA NET species died when they fell below predawn water potential (Ψpd) thresholds (April–August mean) beyond which photosynthesis, hydraulic and stomatal conductance, and carbohydrate availability approached zero. The evaluated regional models accurately predicted NETΨpd, and 91% of predictions (10 out of 11) exceeded mortality thresholds within the twenty-first century due to temperature rise. The independent DGVMs predicted ≥50% loss of Northern Hemisphere NET by 2100, consistent with the NET findings for Southwest USA. Notably, the global models underestimated future mortality within Southwest USA, highlighting that predictions of future mortality within global models may be underestimates. Taken together, the validated regional predictions and the global simulations predict widespread conifer loss in coming decades under projected global warming."
Global drivers of future river flood risk,https://www.nature.com/articles/nclimate2893,nature_articles/images_2015/Global drivers of future river flood risk.jpg,"Global river flood risk is expected to increase substantially over coming decades due to both climate change and socioeconomic development. Model-based projections suggest that southeast Asia and Africa are at particular risk, highlighting the need to invest in adaptation measures.","Hessel C. Winsemius, Jeroen C. J. H. Aerts, Philip J. Ward",No publication date,Letter,"Understanding global future river flood risk is a prerequisite for the quantification of climate change impacts and planning effective adaptation strategies1. Existing global flood risk projections fail to integrate the combined dynamics of expected socio-economic development and climate change. We present the first global future river flood risk projections that separate the impacts of climate change and socio-economic development. The projections are based on an ensemble of climate model outputs2, socio-economic scenarios3, and a state-of-the-art hydrologic river flood model combined with socio-economic impact models4,5. Globally, absolute damage may increase by up to a factor of 20 by the end of the century without action. Countries in Southeast Asia face a severe increase in flood risk. Although climate change contributes significantly to the increase in risk in Southeast Asia6, we show that it is dwarfed by the effect of socio-economic growth, even after normalization for gross domestic product (GDP) growth. African countries face a strong increase in risk mainly due to socio-economic change. However, when normalized to GDP, climate change becomes by far the strongest driver. Both high- and low-income countries may benefit greatly from investing in adaptation measures, for which our analysis provides a basis."
Assessing the observed impact of anthropogenic climate change,https://www.nature.com/articles/nclimate2896,nature_articles/images_2015/Assessing the observed impact of anthropogenic climate change.jpg,An assessment of links between anthropogenic climate change and the impacts of recent regional climate trends on human and natural systems shows that many of these impacts can now be attributed to the effects of global warming.,"Gerrit Hansen, Dáithí Stone",No publication date,Article,
Climate and topography explain range sizes of terrestrial vertebrates,https://www.nature.com/articles/nclimate2895,nature_articles/images_2015/Climate and topography explain range sizes of terrestrial vertebrates.jpg,"Climate, evolutionary age, topography, land area and several species traits all influence range size. Research quantifying these influences on terrestrial vertebrates suggests that small-range species may be most vulnerable to climate change.","Yiming Li, Xianping Li, Shaofei Yan",No publication date,Letter,"Identifying the factors that influence range sizes of species provides important insight into the distribution of biodiversity1, and is crucial for predicting shifts in species ranges in response to climate change2,3,4. Current climate (for example, climate variability and climate extremes)5,6, long-term climate change4, evolutionary age2, topographic heterogeneity, land area3,7and species traits such as physiological thermal limits8, dispersal ability9, annual fecundity and body size3,10have been shown to influence range size. Yet, few studies have examined the generality of each of these factors among different taxa, or have simultaneously evaluated the strength of relationships between range size and these factors at a global scale. We quantify contributions of these factors to range sizes of terrestrial vertebrates (mammals, birds and reptiles) at a global scale. We found that large-ranged species experience greater monthly extremes of maximum or minimum temperature within their ranges, or occur in areas with higher long-term climate velocity and lower topographic heterogeneity or lower precipitation seasonality. Flight ability, body mass and continent width are important only for particular taxa. Our results highlight the importance of climate and topographic context in driving range size variation. The results suggest that small-range species may be vulnerable to climate change and should be the focus of conservation efforts."
Implications for climate sensitivity from the response to individual forcings,https://www.nature.com/articles/nclimate2888,nature_articles/images_2015/Implications for climate sensitivity from the response to individual forcings.jpg,"The response of climate to external forcing is known as climate sensitivity, and its estimates are calculated from historical observations. This study estimates the efficacy of individual forcings and revises climate sensitivities accordingly.","Kate Marvel, Gavin A. Schmidt, Larissa S. Nazarenko",No publication date,Letter,"Climate sensitivity to doubled CO2is a widely used metric for the large-scale response to external forcing. Climate models predict a wide range for two commonly used definitions: the transient climate response (TCR: the warming after 70 years of CO2concentrations that rise at 1% per year), and the equilibrium climate sensitivity (ECS: the equilibrium temperature change following a doubling of CO2concentrations). Many observational data sets have been used to constrain these values, including temperature trends over the recent past1,2,3,4,5,6, inferences from palaeoclimate7,8and process-based constraints from the modern satellite era9,10. However, as the IPCC recently reported11, different classes of observational constraints produce somewhat incongruent ranges. Here we show that climate sensitivity estimates derived from recent observations must account for the efficacy of each forcing active during the historical period. When we use single-forcing experiments to estimate these efficacies and calculate climate sensitivity from the observed twentieth-century warming, our estimates of both TCR and ECS are revised upwards compared to previous studies, improving the consistency with independent constraints."
Scale-dependence of persistence in precipitation records,https://www.nature.com/articles/nclimate2894,nature_articles/images_2015/Scale-dependence of persistence in precipitation records.jpg,A statistical analysis of rainfall records over Europe compared with climate reconstructions based on sediment and pollen time series data suggests that proxy records can be reliable descriptors of long-term precipitation variability.,"Y. Markonis, D. Koutsoyiannis",No publication date,Letter,"Long-term persistence or Hurst–Kolmogorov behaviour has been identified in many hydroclimatic records1. Such time series are intriguing because they are the hallmark of multi-scale dynamical processes that govern the system from which they arise2. They are also highly relevant for water resource managers because these systems exhibit persistent, for example, multi-decadal, mean shifts or extremes clustering that must be included into any long-term drought management strategy. During recent years the growing number of palaeoclimatic reconstructions has allowed further investigation of the long-term statistical properties of climate3,4and an understanding of their implications for the observed change5. Recently, the consistency of the proxy data for precipitation was strongly doubted, when their persistence property was compared to the corresponding estimates of instrumental records and model results6,7. The latter suggest that droughts or extremely wet periods occur less frequently than depicted in the palaeoclimatic reconstructions. Here, we show how this could be the outcome of a varying scaling law and present some evidence supporting that proxy records can be reliable descriptors of the long-term precipitation variability."
Enhanced weathering strategies for stabilizing climate and averting ocean acidification,https://www.nature.com/articles/nclimate2882,nature_articles/images_2015/Enhanced weathering strategies for stabilizing climate and averting ocean acidification.jpg,"The chemical breakdown of rocks can be enhanced by spreading silicate granules over land. Research suggests that this measure, which increases the rate at which CO2 is locked up in ocean carbonates, could lower atmospheric CO2 by 30–300 ppm by 2100.","Lyla L. Taylor, Joe Quirk, David J. Beerling",No publication date,Letter,"Chemical breakdown of rocks, weathering, is an important but very slow part of the carbon cycle that ultimately leads to CO2being locked up in carbonates on the ocean floor. Artificial acceleration of this carbon sink via distribution of pulverized silicate rocks across terrestrial landscapes may help offset anthropogenic CO2emissions1,2,3,4,5. We show that idealized enhanced weathering scenarios over less than a third of tropical land could cause significant drawdown of atmospheric CO2and ameliorate ocean acidification by 2100. Global carbon cycle modelling6,7,8driven by ensemble Representative Concentration Pathway (RCP) projections of twenty-first-century climate change (RCP8.5, business-as-usual; RCP4.5, medium-level mitigation)9,10indicates that enhanced weathering could lower atmospheric CO2by 30–300 ppm by 2100, depending mainly on silicate rock application rate (1 kg or 5 kg m−2yr−1) and composition. At the higher application rate, end-of-century ocean acidification is reversed under RCP4.5 and reduced by about two-thirds under RCP8.5. Additionally, surface ocean aragonite saturation state, a key control on coral calcification rates, is maintained above 3.5 throughout the low latitudes, thereby helping maintain the viability of tropical coral reef ecosystems11,12,13,14. However, we highlight major issues of cost, social acceptability, and potential unanticipated consequences that will limit utilization and emphasize the need for urgent efforts to phase down fossil fuel emissions15."
Foliar temperature acclimation reduces simulated carbon sensitivity to climate,https://www.nature.com/articles/nclimate2878,nature_articles/images_2015/Foliar temperature acclimation reduces simulated carbon sensitivity to climate.jpg,"Incorporating temperature acclimation of photosynthesis and foliar respiration into Earth system models improves their ability to reproduce observed net ecosystem exchange of CO2, and reduces the temperature sensitivity of terrestrial carbon exchange.","Nicholas G. Smith, Sergey L. Malyshev, Jeffrey S. Dukes",No publication date,Letter,"Plant photosynthesis and respiration are the largest carbon fluxes between the terrestrial biosphere and the atmosphere1, and their parameterizations represent large sources of uncertainty in projections of land carbon uptake in Earth system models2,3(ESMs). The incorporation of temperature acclimation of photosynthesis and foliar respiration, commonly observed processes, into ESMs has been proposed as a way to reduce this uncertainty2. Here we show that, across 15 flux tower sites spanning multiple biomes at various locations worldwide (10° S–67° N), acclimation parameterizations4,5improve a model’s ability to reproduce observed net ecosystem exchange of CO2. This improvement is most notable in tropical biomes, where photosynthetic acclimation increased model performance by 36%. The consequences of acclimation for simulated terrestrial carbon uptake depend on the process, region and time period evaluated. Globally, including acclimation has a net effect of increasing carbon assimilation and storage, an effect that diminishes with time, but persists well into the future. Our results suggest that land models omitting foliar temperature acclimation are likely to overestimate the temperature sensitivity of terrestrial carbon exchange, thus biasing projections of future carbon storage and estimates of policy indicators such as the transient climate response to cumulative carbon emissions1."
Large divergence of satellite and Earth system model estimates of global terrestrial CO2 fertilization,https://www.nature.com/articles/nclimate2879,nature_articles/images_2015/Large divergence of satellite and Earth system model estimates of global terrestrial CO2 fertilization.jpg,Satellite-derived estimates of increases in terrestrial net primary productivity are less than half of those derived from Earth system models. This discrepancy is explained by over-sensitivity of Earth system models to atmospheric CO2 concentrations.,"W. Kolby Smith, Sasha C. Reed, Steven W. Running",No publication date,Letter,"Atmospheric mass balance analyses suggest that terrestrial carbon (C) storage is increasing, partially abating the atmospheric [CO2] growth rate1, although the continued strength of this important ecosystem service remains uncertain2,3,4,5,6. Some evidence suggests that these increases will persist owing to positive responses of vegetation growth (net primary productivity; NPP) to rising atmospheric [CO2] (that is, ‘CO2fertilization’)5,6,7,8. Here, we present a new satellite-derived global terrestrial NPP data set9,10,11, which shows a significant increase in NPP from 1982 to 2011. However, comparison against Earth system model (ESM) NPP estimates reveals a significant divergence, with satellite-derived increases (2.8 ± 1.50%) less than half of ESM-derived increases (7.6 ± 1.67%) over the 30-year period. By isolating the CO2fertilization effect in each NPP time series and comparing it against a synthesis of available free-air CO2enrichment data12,13,14,15, we provide evidence that much of the discrepancy may be due to an over-sensitivity of ESMs to atmospheric [CO2], potentially reflecting an under-representation of climatic feedbacks16,17,18,19,20and/or a lack of representation of nutrient constraints21,22,23,24,25. Our understanding of CO2fertilization effects on NPP needs rapid improvement to enable more accurate projections of future C cycle–climate feedbacks; we contend that better integration of modelling, satellite and experimental approaches offers a promising way forward."
Changes in large-scale climate alter spatial synchrony of aphid pests,https://www.nature.com/articles/nclimate2881,nature_articles/images_2015/Changes in large-scale climate alter spatial synchrony of aphid pests.jpg,"The extent to which distant populations fluctuate similarly has significant ecological consequences, but can be difficult to investigate. Now research reveals the drivers of phenological synchrony for aphid pest species across the United Kingdom.","Lawrence W. Sheppard, James R. Bell, Daniel C. Reuman",No publication date,Letter,"Spatial synchrony, the tendency of distant populations to fluctuate similarly, is a major concern in ecology1,2,3,4,5,6,7,8. Except in special circumstances3,9, researchers historically had difficulty identifying drivers of synchrony in field systems5,6,10. Perhaps for this reason, the possibility9,11,12that changes in large-scale climatic drivers may modify synchrony, thereby impacting ecosystems and human concerns, has been little examined. Here, we use wavelets to determine environmental drivers of phenological synchrony across Britain for 20 aphid species, most major crop pests. Consistently across species, changes in drivers produced large changes in aphid synchrony. Different drivers acted on different timescales: using a new wavelet analogue of the Moran theorem1, we show that on long timescales (>4 years), 80% of synchrony in aphid first flights is due to synchrony in winter climate; but this explanation accounts for less short-timescale (≤4 years) synchrony. Changes in aphid synchrony over time also differed by timescale: long-timescale synchrony fell from before 1993 to after, caused by similar changes in winter climate; whereas short-timescale synchrony increased. Shifts in winter climate are attributable to the North Atlantic Oscillation, an important climatic phenomenon7,11,13, so effects described here may influence other taxa. This study documents a new way that climatic changes influence populations, through altered Moran effects."
