Title,URL,Image Filename,Description,Authors,Publication Date,Article Type,Abstract
Biogeochemical plant–soil microbe feedback in response to climate warming in peatlands,https://www.nature.com/articles/nclimate1781,nature_articles/images_2012/Biogeochemical plant_soil microbe feedback in response to climate warming in peatlands.jpg,"Peatlands are important sinks for carbon dioxide, but how their biogeochemistry will be affected by climate warming is poorly understood. This study compares sites along an altitudinal gradient, simulating a natural gradient in soil temperature to elucidate plant–soil microbe feedback in response to a climate-induced change in vegetation.","Luca Bragazza, Julien Parisod, Richard D. Bardgett",No publication date,Letter,"Peatlands act as global sinks of atmospheric carbon (C) through the accumulation of organic matter1, primarily made up of decay-resistant litter of peat mosses2. However, climate warming has been shown to promote vascular plant growth in peatlands, especially ericaceous shrubs3. A change in vegetation cover is in turn expected to modify above-ground/below-ground interactions4, but the biogeochemical mechanisms involved remain unknown. Here, by selecting peatlands at different altitudes to simulate a natural gradient of soil temperature, we show that the expansion of ericaceous shrubs with warming is associated with an increase of polyphenol content in both plant litter and pore water. In turn, this retards the release of nitrogen (N) from decomposing litter, increases the amount of dissolved organic N and reduces N immobilization by soil microbes. A decrease of soil water content with increasing temperature promotes the growth of fungi, which feeds back positively on ericaceous shrubs by facilitating the symbiotic acquisition of dissolved organic N. We also observed a higher release of labile C from vascular plant roots at higher soil temperatures, which promotes the microbial investment in C-degrading enzymes. Our data suggest that climate-induced changes in plant cover can reduce the productivity of peat mosses and potentially prime the decomposition of organic matter by affecting the stoichiometry of soil enzymatic activity."
Projections of declining surface-water availability for the southwestern United States,https://www.nature.com/articles/nclimate1787,nature_articles/images_2012/Projections of declining surface-water availability for the southwestern United States.jpg,"Under global warming, arid subtropical regions are expected to get drier and expand polewards. This study uses model simulations to examine changes in hydrological parameters for the southwestern United States. The predictions for 2021–2040 show declines in surface-water availability, resulting in reduced soil moisture and runoff.","Richard Seager, Mingfang Ting, Haibo Liu",No publication date,Letter,"Global warming driven by rising greenhouse-gas concentrations is expected to cause wet regions of the tropics and mid to high latitudes to get wetter and subtropical dry regions to get drier and expand polewards1,2,3,4. Over southwest North America, models project a steady drop in precipitation minus evapotranspiration,P−E, the net flux of water at the land surface5,6,7, leading to, for example, a decline in Colorado River flow8,9,10,11. This would cause widespread and important social and ecological consequences12,13,14. Here, using new simulations from the Coupled Model Intercomparison Project Five, to be assessed in Intergovernmental Panel on Climate Change Assessment Report Five, we extend previous work by examining changes inP,E, runoff and soil moisture by season and for three different water resource regions. Focusing on the near future, 2021–2040, the new simulations project declines in surface-water availability across the southwest that translate into reduced soil moisture and runoff in California and Nevada, the Colorado River headwaters and Texas."
Variation in plastic responses of a globally distributed picoplankton species to ocean acidification,https://www.nature.com/articles/nclimate1774,nature_articles/images_2012/Variation in plastic responses of a globally distributed picoplankton species to ocean acidification.jpg,A survey shows that variation in responses to ocean acidification among ecotypes of a widely distributed picoplankton species is similar to that found between different genera. The findings should also help to predict evolutionary change within species and how the composition of phytoplankton communities will change in a high-CO2 world.,"Elisa Schaum, Björn Rost, Sinéad Collins",No publication date,Article,
Global perceptions of local temperature change,https://www.nature.com/articles/nclimate1768,nature_articles/images_2012/Global perceptions of local temperature change.jpg,Research based on a survey across 89 countries demonstrates that individuals who live in places with rising average temperatures are more likely than others to perceive local warming. The study also suggests that personal experience of the impacts of climate change may shift public opinion about the reality of global warming.,"Peter D. Howe, Ezra M. Markowitz, Anthony Leiserowitz",No publication date,Letter,"It is difficult to detect global warming directly because most people experience changes only in local weather patterns, which are highly variable and may not reflect long-term global climate trends. However, local climate-change experience may play an important role in adaptation and mitigation behaviour and policy support1,2,3. Previous research indicates that people can perceive and adapt to aspects of climate variability and change based on personal observations4,5,6. Experience with local weather may also influence global warming beliefs7,8. Here we examine the extent to which respondents in 89 countries detect recent changes in average local temperatures. We demonstrate that public perceptions correspond with patterns of observed temperature change from climate records: individuals who live in places with rising average temperatures are more likely than others to perceive local warming. As global climate change intensifies, changes in local temperatures and weather patterns may be increasingly detected by the global public. These findings also suggest that public opinion of climate change may shift, at least in part, in response to the personal experience of climate change."
2020 emissions levels required to limit warming to below 2 °C,https://www.nature.com/articles/nclimate1758,nature_articles/images_2012/2020 emissions levels required to limit warming to below 2__C.jpg,"A relatively wide range of emissions in 2020 could keep open the option of limiting long-term temperature increase to below 2 °C; however, a shortfall in critical technologies would narrow that range or eliminate it altogether. Reduced emissions in 2020 would hedge against this uncertainty.","Joeri Rogelj, David L. McCollum, Keywan Riahi",No publication date,Article,
Assessment of the first consensus prediction on climate change,https://www.nature.com/articles/nclimate1763,nature_articles/images_2012/Assessment of the first consensus prediction on climate change.jpg,"In 1990 the First Assessment Report of the Intergovernmental Panel on Climate Change was produced. It contained a prediction of the global-mean-temperature trend for 1990–2030 which, halfway through that period, appears accurate. This is remarkable in hindsight, considering a number of important external forcings were not included. This study concludes the greenhouse-gas-induced warming is largely overwhelming the other forcings.","David J. Frame, Dáithí A. Stone",No publication date,Letter,"In 1990, climate scientists from around the world wrote the First Assessment Report of the Intergovernmental Panel on Climate Change. It contained a prediction of the global mean temperature trend over the 1990–2030 period that, halfway through that period, seems accurate. This is all the more remarkable in hindsight, considering that a number of important external forcings were not included. So how did this success arise? In the end, the greenhouse-gas-induced warming is largely overwhelming the other forcings, which are only of secondary importance on the 20-year timescale."
Comparing the effectiveness of monetary versus moral motives in environmental campaigning,https://www.nature.com/articles/nclimate1767,nature_articles/images_2012/Comparing the effectiveness of monetary versus moral motives in environmental campaigning.jpg,"Environmental campaigns often promote energy conservation by appealing to economic rather than environmental concerns, assuming self-interest drives people’s behaviour. New research discredits such conventional wisdom and shows that, at least in some cases, it is more effective to call on people’s interest in protecting the biosphere to encourage behavioural changes.","J. W. Bolderdijk, L. Steg, T. Postmes",No publication date,Article,
Dolomite-rich coralline algae in reefs resist dissolution in acidified conditions,https://www.nature.com/articles/nclimate1760,nature_articles/images_2012/Dolomite-rich coralline algae in reefs resist dissolution in acidified conditions.jpg,"Wave-resistant algal rims—chiefly composed of carbonate from crustose coralline algae—form critical structures for the survival of many shallow coral reefs, raising concerns about the susceptibility of these protective structures to ocean acidification. Research now shows that dolomite-rich frameworks—common in shallow coral reefs globally—are likely to persist as carbon dioxide increases.","M. C. Nash, B. N. Opdyke, D. I. Kline",No publication date,Letter,"Coral reef ecosystems develop best in high-flow environments but their fragile frameworks are also vulnerable to high wave energy. Wave-resistant algal rims, predominantly made up of the crustose coralline algae (CCA)Porolithon onkodesandP. pachydermum1,2, are therefore critical structural elements for the survival of many shallow coral reefs. Concerns are growing about the susceptibility of CCA to ocean acidification because CCA Mg-calcite skeletons are more susceptible to dissolution under low pH conditions than coral aragonite skeletons3. However, the recent discovery4of dolomite (Mg0.5Ca0.5(CO3)), a stable carbonate5, inP. onkodescells necessitates a reappraisal of the impacts of ocean acidification on these CCA. Here we show, using a dissolution experiment, that dried dolomite-rich CCA have 6–10 times lower rates of dissolution than predominantly Mg-calcite CCA in both high-CO2(∼700 ppm) and control (∼380 ppm) environments, respectively. We reveal this stabilizing mechanism to be a combination of reduced porosity due to dolomite infilling and selective dissolution of other carbonate minerals. Physical break-up proceeds by dissolution of Mg-calcite walls until the dolomitized cell eventually drops out intact. Dolomite-rich CCA frameworks are common in shallow coral reefs globally and our results suggest that it is likely that they will continue to provide protection and stability for coral reef frameworks as CO2rises."
Patterns in household-level engagement with climate change in Indonesia,https://www.nature.com/articles/nclimate1762,nature_articles/images_2012/Patterns in household-level engagement with climate change in Indonesia.jpg,Understanding public engagement with climate change in developing countries is critical for the success of local adaptation strategies. A study in Indonesia shows that nearly one-third of the population has observed and perceived risks of climate change—contrary to previous research suggesting low levels of awareness—but has not taken action to address it.,"Erin L. Bohensky, Alex Smajgl, Tom Brewer",No publication date,Letter,"Understanding how individuals engage with climate change is critical for developing successful climate adaptation policies1. Indonesia ranks among the world’s top CO2emitters2, affirming its relevance to the global climate change policy arena, yet the dynamics of climate change engagement in Indonesia may differ from developed countries from which much research on this issue derives3. We surveyed 6,310 households in two Indonesian regions to investigate patterns in four steps of engagement: observation, risk perception, reactive action (in response to present climate change) and proactive action (in anticipation of future climate change). We show that 89.5% of households exhibited a pattern whereby taking each of these steps in sequence implied taking all steps that precede it. Exceptions occurred in urban areas, where households were more likely to take action without having observed climate change or perceiving risks. In rural areas, households were more likely to observe climate change without taking action. These variations suggest a potentially nonlinear relationship between steps of engagement. We distinguish three types of household requiring adaptation support, and stress that Indonesian climate policy should shift emphasis from raising awareness to identifying broader institutional structures and processes to facilitate household engagement."
Long-term responses of North Atlantic calcifying plankton to climate change,https://www.nature.com/articles/nclimate1753,nature_articles/images_2012/Long-term responses of North Atlantic calcifying plankton to climate change.jpg,"Climate change is threatening marine biodiversity in two ways—temperature increases and acidification. This study demonstrates that from 1960 to 2009 North Atlantic calcifying plankton primarily responded to temperature changes. Plankton communities showed an abrupt shift circa 1996, a time of a substantial temperature increase, and some taxa exhibited a poleward movement in agreement with expected biogeographical changes under ocean warming. Although acidification may become a serious threat to marine calcifiers, over the study period the primary driver of spatial distribution was ocean temperature.","Gregory Beaugrand, Abigail McQuatters-Gollop, Eric Goberville",No publication date,Letter,"The global increase in atmospheric carbon dioxide concentration is potentially threatening marine biodiversity in two ways. First, carbon dioxide and other greenhouse gases accumulating in the atmosphere are causing global warming1. Second, carbon dioxide is altering sea water chemistry, making the ocean more acidic2. Although temperature has a cardinal influence on all biological processes from the molecular to the ecosystem level3, acidification might impair the process of calcification or exacerbate dissolution of calcifying organisms4. Here, we show however that North Atlantic calcifying plankton primarily responded to climate-induced changes in temperatures during the period 1960–2009, overriding the signal from the effects of ocean acidification. We provide evidence that foraminifers, coccolithophores, both pteropod and non-pteropod molluscs and echinoderms exhibited an abrupt shiftcirca1996 at a time of a substantial increase in temperature5and that some taxa exhibited a poleward movement in agreement with expected biogeographical changes under sea temperature warming6,7. Although acidification may become a serious threat to marine calcifying organisms, our results suggest that over the study period the primary driver of North Atlantic calcifying plankton was oceanic temperature."
